0 -> 0.000149 	- 0.423847 	| 0.423698 	-> 0s, 423698.0ms
1 -> 0.423877 	- 0.423981 	| 0.000104 	-> 0s, 104.0ms
0 -> 0.424014 	- 0.438303 	| 0.014289 	-> 0s, 14289.0ms
1 -> 0.438333 	- 0.438407 	| 7.4e-05 	-> 0s, 74.0ms
0 -> 0.438441 	- 0.520307 	| 0.081866 	-> 0s, 81866.0ms
1 -> 0.520337 	- 0.520549 	| 0.000212 	-> 0s, 212.0ms
0 -> 0.520582 	- 0.523137 	| 0.002555 	-> 0s, 2555.0ms
1 -> 0.523168 	- 0.523372 	| 0.000204 	-> 0s, 204.0ms
0 -> 0.523406 	- 0.524633 	| 0.001227 	-> 0s, 1227.0ms
1 -> 0.524663 	- 0.524865 	| 0.000202 	-> 0s, 202.0ms
0 -> 0.524899 	- 0.525172 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.525202 	- 0.525402 	| 0.0002 	-> 0s, 200.0ms
0 -> 0.525436 	- 0.525654 	| 0.000218 	-> 0s, 218.0ms
1 -> 0.525685 	- 0.525884 	| 0.000199 	-> 0s, 199.0ms
0 -> 0.525918 	- 0.527191 	| 0.001273 	-> 0s, 1273.0ms
1 -> 0.527221 	- 0.527425 	| 0.000204 	-> 0s, 204.0ms
0 -> 0.527459 	- 0.527711 	| 0.000252 	-> 0s, 252.0ms
1 -> 0.527741 	- 0.527909 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.527943 	- 0.529217 	| 0.001274 	-> 0s, 1274.0ms
1 -> 0.529247 	- 0.529454 	| 0.000207 	-> 0s, 207.0ms
0 -> 0.529488 	- 0.529731 	| 0.000243 	-> 0s, 243.0ms
1 -> 0.529761 	- 0.529963 	| 0.000202 	-> 0s, 202.0ms
0 -> 0.529995 	- 0.531244 	| 0.001249 	-> 0s, 1249.0ms
1 -> 0.531273 	- 0.531477 	| 0.000204 	-> 0s, 204.0ms
0 -> 0.53151 	- 0.531752 	| 0.000242 	-> 0s, 242.0ms
1 -> 0.531782 	- 0.531983 	| 0.000201 	-> 0s, 201.0ms
0 -> 0.532016 	- 0.533289 	| 0.001273 	-> 0s, 1273.0ms
1 -> 0.53332 	- 0.533487 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.533524 	- 0.534798 	| 0.001274 	-> 0s, 1274.0ms
1 -> 0.534828 	- 0.534995 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.535028 	- 0.535303 	| 0.000275 	-> 0s, 275.0ms
1 -> 0.535334 	- 0.535534 	| 0.0002 	-> 0s, 200.0ms
0 -> 0.535568 	- 0.536816 	| 0.001248 	-> 0s, 1248.0ms
1 -> 0.536846 	- 0.53702 	| 0.000174 	-> 0s, 174.0ms
0 -> 0.537055 	- 0.53733 	| 0.000275 	-> 0s, 275.0ms
1 -> 0.53736 	- 0.537561 	| 0.000201 	-> 0s, 201.0ms
0 -> 0.537595 	- 0.537837 	| 0.000242 	-> 0s, 242.0ms
1 -> 0.537867 	- 0.538069 	| 0.000202 	-> 0s, 202.0ms
0 -> 0.538102 	- 0.539374 	| 0.001272 	-> 0s, 1272.0ms
1 -> 0.539404 	- 0.539575 	| 0.000171 	-> 0s, 171.0ms
0 -> 0.539608 	- 0.540898 	| 0.00129 	-> 0s, 1290.0ms
1 -> 0.540929 	- 0.541097 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.54113 	- 0.541409 	| 0.000279 	-> 0s, 279.0ms
1 -> 0.541441 	- 0.541608 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.541641 	- 0.5429 	| 0.001259 	-> 0s, 1259.0ms
1 -> 0.542932 	- 0.54313 	| 0.000198 	-> 0s, 198.0ms
0 -> 0.543165 	- 0.543439 	| 0.000274 	-> 0s, 274.0ms
1 -> 0.543469 	- 0.543635 	| 0.000166 	-> 0s, 166.0ms
0 -> 0.543669 	- 0.543942 	| 0.000273 	-> 0s, 273.0ms
1 -> 0.543972 	- 0.54414 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.544174 	- 0.545445 	| 0.001271 	-> 0s, 1271.0ms
1 -> 0.545474 	- 0.545673 	| 0.000199 	-> 0s, 199.0ms
0 -> 0.545706 	- 0.545978 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.546008 	- 0.546175 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.546209 	- 0.547487 	| 0.001278 	-> 0s, 1278.0ms
1 -> 0.547517 	- 0.547686 	| 0.000169 	-> 0s, 169.0ms
0 -> 0.54772 	- 0.547992 	| 0.000272 	-> 0s, 272.0ms
1 -> 0.548022 	- 0.548189 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.548222 	- 0.54951 	| 0.001288 	-> 0s, 1288.0ms
1 -> 0.54954 	- 0.549708 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.549741 	- 0.550016 	| 0.000275 	-> 0s, 275.0ms
1 -> 0.550047 	- 0.550214 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.550247 	- 0.551523 	| 0.001276 	-> 0s, 1276.0ms
1 -> 0.551554 	- 0.551754 	| 0.0002 	-> 0s, 200.0ms
0 -> 0.551794 	- 0.552036 	| 0.000242 	-> 0s, 242.0ms
1 -> 0.552068 	- 0.552235 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.552268 	- 0.553564 	| 0.001296 	-> 0s, 1296.0ms
1 -> 0.553594 	- 0.553762 	| 0.000168 	-> 0s, 168.0ms
0 -> 0.553796 	- 0.555069 	| 0.001273 	-> 0s, 1273.0ms
1 -> 0.555099 	- 0.555266 	| 0.000167 	-> 0s, 167.0ms
0 -> 0.5553 	- 0.555607 	| 0.000307 	-> 0s, 307.0ms
1 -> 0.555636 	- 0.555806 	| 0.00017 	-> 0s, 170.0ms
0 -> 0.555839 	- 0.557106 	| 0.001267 	-> 0s, 1267.0ms
1 -> 0.557136 	- 0.557306 	| 0.00017 	-> 0s, 170.0ms
